행정구역코드,행정구역명,행정구역레벨,성별,총 이동 전입,총 이동 전출,시군구내 전입,시군구내 전출,시군구간 전입,시군구간 전출,시도간 전입,시도간 전출,순이동
31,울산광역시,시도,남자,"71,980","78,555","25,236","25,236","24,257","24,257","22,487","29,062","-6,575"
31,울산광역시,시도,여자,"64,132","71,141","23,695","23,695","22,449","22,449","17,988","24,997","-7,009"
31110,울산광역시 중구,시군구,남자,"12,176","15,345","4,340","4,340","4,738","6,262","3,098","4,743","-3,169"
31110,울산광역시 중구,시군구,여자,"11,514","14,184","4,190","4,190","4,526","5,830","2,798","4,164","-2,670"
31140,울산광역시 남구,시군구,남자,"24,687","26,611","10,639","10,639","7,474","7,410","6,574","8,562","-1,924"
31140,울산광역시 남구,시군구,여자,"22,780","24,914","10,191","10,191","7,089","7,029","5,500","7,694","-2,134"
31170,울산광역시 동구,시군구,남자,"8,871","10,330","3,640","3,640","2,058","2,573","3,173","4,117","-1,459"
31170,울산광역시 동구,시군구,여자,"7,479","9,072","3,300","3,300","1,840","2,407","2,339","3,365","-1,593"
31200,울산광역시 북구,시군구,남자,"13,570","13,311","3,784","3,784","5,443","4,069","4,343","5,458",259
31200,울산광역시 북구,시군구,여자,"11,631","11,828","3,447","3,447","4,777","3,722","3,407","4,659",-197
31710,울산광역시 울주군,시군구,남자,"12,676","12,958","2,833","2,833","4,544","3,943","5,299","6,182",-282
31710,울산광역시 울주군,시군구,여자,"10,728","11,143","2,567","2,567","4,217","3,461","3,944","5,115",-415
3111051000,울산광역시 중구 학성동,읍면동,남자,768,685,387,244,244,282,137,159,83
3111051000,울산광역시 중구 학성동,읍면동,여자,641,610,327,211,204,234,110,165,31
3111052000,울산광역시 중구 반구1동,읍면동,남자,975,"1,180",316,299,430,541,229,340,-205
3111052000,울산광역시 중구 반구1동,읍면동,여자,840,"1,107",284,298,353,517,203,292,-267
3111053000,울산광역시 중구 반구2동,읍면동,남자,583,690,251,240,184,245,148,205,-107
3111053000,울산광역시 중구 반구2동,읍면동,여자,542,626,236,223,176,221,130,182,-84
3111054000,울산광역시 중구 복산1동,읍면동,남자,271,379,116,142,97,142,58,95,-108
3111054000,울산광역시 중구 복산1동,읍면동,여자,258,393,102,167,101,134,55,92,-135
3111055000,울산광역시 중구 복산2동,읍면동,남자,781,963,357,332,280,374,144,257,-182
3111055000,울산광역시 중구 복산2동,읍면동,여자,818,867,370,307,293,331,155,229,-49
3111058500,울산광역시 중구 중앙동,읍면동,남자,908,"1,241",330,429,324,477,254,335,-333
3111058500,울산광역시 중구 중앙동,읍면동,여자,839,"1,077",276,401,358,425,205,251,-238
3111059000,울산광역시 중구 우정동,읍면동,남자,"1,044","1,794",380,683,375,668,289,443,-750
3111059000,울산광역시 중구 우정동,읍면동,여자,"1,063","1,682",378,660,378,616,307,406,-619
3111060000,울산광역시 중구 태화동,읍면동,남자,"1,694","2,113",563,488,665,876,466,749,-419
3111060000,울산광역시 중구 태화동,읍면동,여자,"1,733","2,014",633,478,660,883,440,653,-281
3111061000,울산광역시 중구 다운동,읍면동,남자,"1,134","1,551",264,331,532,710,338,510,-417
3111061000,울산광역시 중구 다운동,읍면동,여자,"1,013","1,415",263,324,488,663,262,428,-402
3111062000,울산광역시 중구 병영1동,읍면동,남자,"1,088","1,393",381,360,452,567,255,466,-305
3111062000,울산광역시 중구 병영1동,읍면동,여자,"1,077","1,261",416,325,429,534,232,402,-184
3111063000,울산광역시 중구 병영2동,읍면동,남자,"1,120","1,331",375,281,475,615,270,435,-211
3111063000,울산광역시 중구 병영2동,읍면동,여자,"1,026","1,239",366,317,424,560,236,362,-213
3111064000,울산광역시 중구 약사동,읍면동,남자,606,725,237,221,229,263,140,241,-119
3111064000,울산광역시 중구 약사동,읍면동,여자,599,704,226,227,226,240,147,237,-105
3111065000,울산광역시 중구 성안동,읍면동,남자,"1,204","1,300",383,290,451,502,370,508,-96
3111065000,울산광역시 중구 성안동,읍면동,여자,"1,065","1,189",313,252,436,472,316,465,-124
3114051000,울산광역시 남구 신정1동,읍면동,남자,"1,775","1,784",808,752,537,531,430,501,-9
3114051000,울산광역시 남구 신정1동,읍면동,여자,"1,644","1,599",770,685,508,496,366,418,45
3114052000,울산광역시 남구 신정2동,읍면동,남자,"1,990","2,343",895,"1,043",560,544,535,756,-353
3114052000,울산광역시 남구 신정2동,읍면동,여자,"1,879","2,220",888,"1,017",552,505,439,698,-341
3114053000,울산광역시 남구 신정3동,읍면동,남자,"1,403","1,494",632,618,447,427,324,449,-91
3114053000,울산광역시 남구 신정3동,읍면동,여자,"1,344","1,310",662,573,431,368,251,369,34
3114054000,울산광역시 남구 신정4동,읍면동,남자,"1,390","2,313",695,"1,316",294,511,401,486,-923
3114054000,울산광역시 남구 신정4동,읍면동,여자,"1,296","2,362",650,"1,298",295,513,351,551,"-1,066"
3114055000,울산광역시 남구 신정5동,읍면동,남자,995,"1,005",461,452,291,293,243,260,-10
3114055000,울산광역시 남구 신정5동,읍면동,여자,861,837,426,359,257,248,178,230,24
3114056000,울산광역시 남구 달동,읍면동,남자,"2,160","2,340","1,039","1,009",588,642,533,689,-180
3114056000,울산광역시 남구 달동,읍면동,여자,"1,959","2,246",967,"1,013",571,616,421,617,-287
3114057000,울산광역시 남구 삼산동,읍면동,남자,"4,088","4,276","1,246","1,200","1,448","1,337","1,394","1,739",-188
3114057000,울산광역시 남구 삼산동,읍면동,여자,"3,435","3,802","1,032","1,114","1,278","1,180","1,125","1,508",-367
3114058500,울산광역시 남구 삼호동,읍면동,남자,"1,179","1,759",360,507,451,696,368,556,-580
3114058500,울산광역시 남구 삼호동,읍면동,여자,"1,030","1,619",334,476,402,661,294,482,-589
3114059500,울산광역시 남구 무거동,읍면동,남자,"1,864","2,375",477,590,618,777,769,"1,008",-511
3114059500,울산광역시 남구 무거동,읍면동,여자,"1,644","2,134",458,566,577,759,609,809,-490
3114060000,울산광역시 남구 옥동,읍면동,남자,"2,734","1,701","1,371",638,863,437,500,626,"1,033"
3114060000,울산광역시 남구 옥동,읍면동,여자,"2,715","1,752","1,361",669,880,452,474,631,963
3114062500,울산광역시 남구 대현동,읍면동,남자,"1,655","2,099",851,"1,003",417,480,387,616,-444
3114062500,울산광역시 남구 대현동,읍면동,여자,"1,699","2,057",861,972,449,517,389,568,-358
3114063500,울산광역시 남구 수암동,읍면동,남자,"1,205","1,119",668,526,290,197,247,396,86
3114063500,울산광역시 남구 수암동,읍면동,여자,"1,285","1,119",727,541,276,216,282,362,166
3114064000,울산광역시 남구 선암동,읍면동,남자,832,"1,119",437,560,205,305,190,254,-287
3114064000,울산광역시 남구 선암동,읍면동,여자,732,"1,123",391,536,182,302,159,285,-391
3114067000,울산광역시 남구 야음장생포동,읍면동,남자,"1,417",884,699,425,465,233,253,226,533
3114067000,울산광역시 남구 야음장생포동,읍면동,여자,"1,257",734,664,372,431,196,162,166,523
3117051000,울산광역시 동구 방어동,읍면동,남자,"2,628","2,740",825,657,713,781,"1,090","1,302",-112
3117051000,울산광역시 동구 방어동,읍면동,여자,"1,899","2,222",668,589,558,644,673,989,-323
3117052000,울산광역시 동구 일산동,읍면동,남자,540,595,288,304,94,97,158,194,-55
3117052000,울산광역시 동구 일산동,읍면동,여자,418,471,236,253,80,99,102,119,-53
3117053000,울산광역시 동구 화정동,읍면동,남자,972,"1,341",497,599,211,313,264,429,-369
3117053000,울산광역시 동구 화정동,읍면동,여자,897,"1,242",453,576,194,272,250,394,-345
3117054000,울산광역시 동구 대송동,읍면동,남자,629,819,335,415,142,150,152,254,-190
3117054000,울산광역시 동구 대송동,읍면동,여자,551,736,304,375,116,126,131,235,-185
3117055000,울산광역시 동구 전하1동,읍면동,남자,"1,111",972,511,368,232,191,368,413,139
3117055000,울산광역시 동구 전하1동,읍면동,여자,"1,024",881,475,321,218,212,331,348,143
3117056000,울산광역시 동구 전하2동,읍면동,남자,"1,058","1,281",518,502,193,299,347,480,-223
3117056000,울산광역시 동구 전하2동,읍면동,여자,"1,008","1,252",523,474,201,343,284,435,-244
3117058000,울산광역시 동구 남목1동,읍면동,남자,363,544,132,178,114,152,117,214,-181
3117058000,울산광역시 동구 남목1동,읍면동,여자,336,471,148,159,106,144,82,168,-135
3117059000,울산광역시 동구 남목2동,읍면동,남자,"1,110","1,454",354,464,240,403,516,587,-344
3117059000,울산광역시 동구 남목2동,읍면동,여자,889,"1,253",313,397,231,368,345,488,-364
3117060000,울산광역시 동구 남목3동,읍면동,남자,460,584,180,153,119,187,161,244,-124
3117060000,울산광역시 동구 남목3동,읍면동,여자,457,544,180,156,136,199,141,189,-87
3120051000,울산광역시 북구 농소1동,읍면동,남자,"2,191","2,408",780,808,738,678,673,922,-217
3120051000,울산광역시 북구 농소1동,읍면동,여자,"1,912","2,182",737,761,599,599,576,822,-270
3120052000,울산광역시 북구 농소2동,읍면동,남자,"2,277","2,326",812,730,802,531,663,"1,065",-49
3120052000,울산광역시 북구 농소2동,읍면동,여자,"2,131","2,132",789,676,732,477,610,979,-1
3120053000,울산광역시 북구 농소3동,읍면동,남자,"1,500","1,802",412,493,578,474,510,835,-302
3120053000,울산광역시 북구 농소3동,읍면동,여자,"1,369","1,790",352,494,497,446,520,850,-421
3120054000,울산광역시 북구 강동동,읍면동,남자,"1,228",960,214,154,576,376,438,430,268
3120054000,울산광역시 북구 강동동,읍면동,여자,"1,175",916,204,147,528,376,443,393,259
3120056000,울산광역시 북구 효문동,읍면동,남자,"2,360","2,565",470,724,"1,148",958,742,883,-205
3120056000,울산광역시 북구 효문동,읍면동,여자,"1,798","2,125",390,637,931,865,477,623,-327
3120057000,울산광역시 북구 송정동,읍면동,남자,"2,522","1,537",805,381,"1,195",502,522,654,985
3120057000,울산광역시 북구 송정동,읍면동,여자,"2,409","1,448",763,371,"1,157",483,489,594,961
3120058000,울산광역시 북구 양정동,읍면동,남자,879,959,143,300,195,296,541,363,-80
3120058000,울산광역시 북구 양정동,읍면동,여자,453,663,114,200,168,255,171,208,-210
3120059000,울산광역시 북구 염포동,읍면동,남자,613,754,148,194,211,254,254,306,-141
3120059000,울산광역시 북구 염포동,읍면동,여자,384,572,98,161,165,221,121,190,-188
3171025000,울산광역시 울주군 온산읍,읍면동,남자,"1,621","1,736",292,396,479,446,850,894,-115
3171025000,울산광역시 울주군 온산읍,읍면동,여자,892,"1,085",216,330,293,303,383,452,-193
3171025300,울산광역시 울주군 언양읍,읍면동,남자,"1,589","1,514",565,495,407,305,617,714,75
3171025300,울산광역시 울주군 언양읍,읍면동,여자,"1,404","1,356",523,509,357,265,524,582,48
3171025600,울산광역시 울주군 온양읍,읍면동,남자,"1,467","1,559",444,353,405,412,618,794,-92
3171025600,울산광역시 울주군 온양읍,읍면동,여자,"1,293","1,448",384,304,373,380,536,764,-155
3171025900,울산광역시 울주군 범서읍,읍면동,남자,"2,882","3,440",329,461,"1,495","1,458","1,058","1,521",-558
3171025900,울산광역시 울주군 범서읍,읍면동,여자,"2,770","3,160",301,398,"1,570","1,372",899,"1,390",-390
3171026200,울산광역시 울주군 청량읍,읍면동,남자,"1,183","1,120",185,187,674,561,324,372,63
3171026200,울산광역시 울주군 청량읍,읍면동,여자,"1,037","1,056",177,146,627,520,233,390,-19
3171026500,울산광역시 울주군 삼남읍,읍면동,남자,"1,775","1,462",544,448,476,299,755,715,313
3171026500,울산광역시 울주군 삼남읍,읍면동,여자,"1,528","1,230",521,394,433,261,574,575,298
3171031000,울산광역시 울주군 서생면,읍면동,남자,673,705,103,115,99,93,471,497,-32
3171031000,울산광역시 울주군 서생면,읍면동,여자,477,538,89,102,76,65,312,371,-61
3171034000,울산광역시 울주군 웅촌면,읍면동,남자,426,440,65,53,138,119,223,268,-14
3171034000,울산광역시 울주군 웅촌면,읍면동,여자,388,434,62,81,156,99,170,254,-46
3171036000,울산광역시 울주군 두동면,읍면동,남자,274,236,77,61,104,86,93,89,38
3171036000,울산광역시 울주군 두동면,읍면동,여자,218,164,59,47,91,58,68,59,54
3171037000,울산광역시 울주군 두서면,읍면동,남자,166,152,49,49,73,35,44,68,14
3171037000,울산광역시 울주군 두서면,읍면동,여자,155,123,46,47,78,28,31,48,32
3171038000,울산광역시 울주군 상북면,읍면동,남자,524,479,148,177,168,100,208,202,45
3171038000,울산광역시 울주군 상북면,읍면동,여자,464,469,145,178,135,93,184,198,-5
3171040000,울산광역시 울주군 삼동면,읍면동,남자,96,115,32,38,26,29,38,48,-19
3171040000,울산광역시 울주군 삼동면,읍면동,여자,102,80,44,31,28,17,30,32,22
